"序號","教材系列","適用階段","單元篇名","核心探討面向","寫作技巧與亮點","標準網頁檔名","相對路徑","線上瀏覽網址"
"1","系列一・主題與思辨寫作特訓","會考總複習","會考作文 6 級分大絕招：萬用例可帶 × 問津趕行程","會考戰略・時間配速與結構組織","50分鐘900字配速策略、6大領域萬用例儲備庫、問津趕行程五段口訣","cap-exam-writing-guide.html","topic-writing/cap-exam-writing-guide.html","https://oaoadna-1313.github.io/2026_composition/topic-writing/cap-exam-writing-guide.html"
"2","系列一・主題與思辨寫作特訓","全學年/國二~國三","AI 時代的人性微光・科技無法取代的一件事","科技思辨・生而為人的核心價值","感官摹寫對比機器冰冷、同理心由實入虛、靈魂溫度昇華","ai-human-value.html","topic-writing/ai-human-value.html","https://oaoadna-1313.github.io/2026_composition/topic-writing/ai-human-value.html"
"3","系列一・主題與思辨寫作特訓","全學年/國二~國三","AI 與我們的距離","科技生活・數位時代的心理界線","日常科技場景切入、反思人際疏離、找回真實互動溫度","ai-and-distance.html","topic-writing/ai-and-distance.html","https://oaoadna-1313.github.io/2026_composition/topic-writing/ai-and-distance.html"
"4","系列一・主題與思辨寫作特訓","全學年/國二~國三","科技倫理的兩難：基因編輯或順其自然","倫理思辨・科技進步與生命尊嚴","正反立論對照、價值衝突剖析、生命自然演進之美","tech-ethics-gene-editing.html","topic-writing/tech-ethics-gene-editing.html","https://oaoadna-1313.github.io/2026_composition/topic-writing/tech-ethics-gene-editing.html"
"5","系列一・主題與思辨寫作特訓","全學年/國二~國三","網路匿名發言","數位公民・言論自由與道德責任","鍵盤俠現象剖析、同理心換位思考、言論自律與社會責任","internet-anonymous-speech.html","topic-writing/internet-anonymous-speech.html","https://oaoadna-1313.github.io/2026_composition/topic-writing/internet-anonymous-speech.html"
"6","系列一・主題與思辨寫作特訓","全學年/國一~國三","當學習遇上手機","生活情境・專注力與自律管理","誘惑與自律心理拉鋸、具體行動解方、建立良好數位習慣","learning-meets-smartphones.html","topic-writing/learning-meets-smartphones.html","https://oaoadna-1313.github.io/2026_composition/topic-writing/learning-meets-smartphones.html"
"7","系列一・主題與思辨寫作特訓","全學年/國二~國三","我看詐騙現象的觀察與反思","社會觀察・謊言貪念與人際信任","時事現象深入剖析、人性弱點反思、重建社會信任防線","fraud-phenomenon-reflection.html","topic-writing/fraud-phenomenon-reflection.html","https://oaoadna-1313.github.io/2026_composition/topic-writing/fraud-phenomenon-reflection.html"
"8","系列一・主題與思辨寫作特訓","全學年/國二~國三","折扣與消費心理","生活哲思・「需要」與「想要」的辨析","消費盲點細緻描摹、心靈富足反思、理性抉擇之價值觀","discount-consumer-psychology.html","topic-writing/discount-consumer-psychology.html","https://oaoadna-1313.github.io/2026_composition/topic-writing/discount-consumer-psychology.html"
"9","系列一・主題與思辨寫作特訓","全學年/國二~國三","互助的溫度：時間銀行","社會創新・無私奉獻與代際共融","創新機制引導破題、志工服務情境摹寫、人情溫暖昇華","time-bank-mutual-aid.html","topic-writing/time-bank-mutual-aid.html","https://oaoadna-1313.github.io/2026_composition/topic-writing/time-bank-mutual-aid.html"
"10","系列一・主題與思辨寫作特訓","全學年/國一~國三","生活中的空白","心靈空間・忙碌節奏中的留白智慧","快節奏對比意境留白、獨處沉澱心靈、找回生活本質節奏","blank-spaces-in-life.html","topic-writing/blank-spaces-in-life.html","https://oaoadna-1313.github.io/2026_composition/topic-writing/blank-spaces-in-life.html"
"11","系列一・主題與思辨寫作特訓","全學年/國一~國三","賦予事物新面貌","創意視角・轉念與舊物重生","多元視角切入觀察、枯木與挫折之轉化、生命意義翻轉","giving-things-new-look.html","topic-writing/giving-things-new-look.html","https://oaoadna-1313.github.io/2026_composition/topic-writing/giving-things-new-look.html"
"12","系列一・主題與思辨寫作特訓","全學年/國一~國三","最能代表我的一個字","自我探索・單字象徵與個人特質","漢字字義深層象徵、生命故事聚焦點題、自我期許與定位","one-character-representing-me.html","topic-writing/one-character-representing-me.html","https://oaoadna-1313.github.io/2026_composition/topic-writing/one-character-representing-me.html"
"13","系列一・主題與思辨寫作特訓","全學年/國一~國三","因為這項習慣讓我……","習慣力量・微小積累與複利效應","細節摹寫累積過程、轉折點心路歷程、自律與收穫喜悅","because-of-this-habit.html","topic-writing/because-of-this-habit.html","https://oaoadna-1313.github.io/2026_composition/topic-writing/because-of-this-habit.html"
"14","系列一・主題與思辨寫作特訓","全學年/國一~國三","我如何面對生活的壓力","逆境成長・心理調適與抗壓韌性","壓力場景心理描摹、有效排解管道分享、化壓力為前行動力","coping-with-life-stress.html","topic-writing/coping-with-life-stress.html","https://oaoadna-1313.github.io/2026_composition/topic-writing/coping-with-life-stress.html"
"15","系列一・主題與思辨寫作特訓","全學年/國二~國三","我從《論語》學到的事","經典古今・聖賢智慧與現代生活","引經據典巧妙印證、古今處世智慧對照、自我品格修為昇華","lessons-from-analects.html","topic-writing/lessons-from-analects.html","https://oaoadna-1313.github.io/2026_composition/topic-writing/lessons-from-analects.html"
"16","系列一・主題與思辨寫作特訓","全學年/國一~國三","老師的教誨","師恩如光・成長指引與深刻啟迪","人物神態細膩刻畫、經典對話重現、銘記教誨與感恩回饋","teachers-teachings.html","topic-writing/teachers-teachings.html","https://oaoadna-1313.github.io/2026_composition/topic-writing/teachers-teachings.html"
"17","系列一・主題與思辨寫作特訓","全學年/國一~國三","校園裡的聲音","五感摹寫・聲音記憶與青春歲月","聽覺摹寫技巧、動靜對比意象營造、時光流逝與珍惜青春","sounds-in-campus.html","topic-writing/sounds-in-campus.html","https://oaoadna-1313.github.io/2026_composition/topic-writing/sounds-in-campus.html"
"18","系列二・閱思龍門・情境素養寫作","七年級上","7上｜一次難忘的考試經驗","考場記憶・初入國中的考驗與成長","考場緊張氣氛摹寫、成績挫折真誠反思、建立正確學習心態","g7a-unforgettable-exam.html","dragon-gate/g7a-unforgettable-exam.html","https://oaoadna-1313.github.io/2026_composition/dragon-gate/g7a-unforgettable-exam.html"
"19","系列二・閱思龍門・情境素養寫作","七年級上","7上｜我的老師（同學）寫作引導","人物描寫・肖像特寫與個性展現","具體事件襯托性格、標誌性動作特寫、對話生動呈現人物靈魂","g7a-my-teacher-or-classmate.html","dragon-gate/g7a-my-teacher-or-classmate.html","https://oaoadna-1313.github.io/2026_composition/dragon-gate/g7a-my-teacher-or-classmate.html"
"20","系列二・閱思龍門・情境素養寫作","七年級下","7下｜大安森林公園賞花記（長文寫作）","自然寫景・生態步道與景情交融","步移換景＋定點特寫雙軌寫景、五感摹寫、由景入情哲思昇華","g7b-daan-park-flower-trip.html","dragon-gate/g7b-daan-park-flower-trip.html","https://oaoadna-1313.github.io/2026_composition/dragon-gate/g7b-daan-park-flower-trip.html"
"21","系列二・閱思龍門・情境素養寫作","八年級上","8上｜臺北嬉遊記","城市書寫・都會地景與人文探索","突破流水帳盲點、聚焦城市亮點光斑、在地情感深度連結","g8a-taipei-pleasure-trip.html","dragon-gate/g8a-taipei-pleasure-trip.html","https://oaoadna-1313.github.io/2026_composition/dragon-gate/g8a-taipei-pleasure-trip.html"
"22","系列二・閱思龍門・情境素養寫作","八年級上","8上｜故事．臺北．人（擴寫練習）","敘事技巧・情節編織與小人物百態","情境擴寫階梯法、衝突製造、人物內心獨白深刻刻畫","g8a-story-taipei-expansion.html","dragon-gate/g8a-story-taipei-expansion.html","https://oaoadna-1313.github.io/2026_composition/dragon-gate/g8a-story-taipei-expansion.html"
