編號,主分類,年段,次分類,教材名稱,標準網頁檔名,相對路徑,線上瀏覽網址,核心學習重點
"000","練習神器總部","七~九年級全","首頁總入口","學思軒・國語文練習神器總部 (整合首頁)","index.html","index.html","https://oaoadna-1313.github.io/2026_practicetools/index.html","全系列國語文練功房、語文補給站、語文常識闖關與自學存摺整合入口導覽首頁。"
"001","語文補給站","八上","語文補給站","移覺（通感）修辭互動學習殿堂","yijay.html","kuobao-practice/yijay.html","https://oaoadna-1313.github.io/2026_practicetools/kuobao-practice/yijay.html","將一種感官感覺轉化為另一種感官經驗的移覺（通感）修辭互動學習殿堂，含動態星盤、典範圖鑑與語音朗讀。"
"002","語文補給站","八上","語文補給站","時序之美：傳統節日與二十四節氣殿堂","holiday.html","kuobao-practice/holiday.html","https://oaoadna-1313.github.io/2026_practicetools/kuobao-practice/holiday.html","探索傳統四大節日、民俗活動、二十四節氣時序之美與古典詩詞對應互動學習殿堂。"
"047","語文學習集","七上","語文形音義","常誤讀字-「吐」的注音辨識","yuwen-misread-tu.html","yuwen-practice/yuwen-misread-tu.html","https://oaoadna-1313.github.io/2026_practicetools/yuwen-practice/yuwen-misread-tu.html","精準辨別多音字「吐」的不同讀音與語境用法。"
"048","語文學習集","七上","語文成語","誇飾成語","yuwen-idiom-hyperbole.html","yuwen-practice/yuwen-idiom-hyperbole.html","https://oaoadna-1313.github.io/2026_practicetools/yuwen-practice/yuwen-idiom-hyperbole.html","包含放大或縮小誇飾修辭手法的成語專題。"
"049","語文學習集","七上","語文成語","朋友相關成語","yuwen-idiom-friends.html","yuwen-practice/yuwen-idiom-friends.html","https://oaoadna-1313.github.io/2026_practicetools/yuwen-practice/yuwen-idiom-friends.html","管鮑之交、刎頸之交等各類交情與友誼成語大全。"
"050","語文學習集","七上","語文成語","論語相關成語","yuwen-idiom-analects.html","yuwen-practice/yuwen-idiom-analects.html","https://oaoadna-1313.github.io/2026_practicetools/yuwen-practice/yuwen-idiom-analects.html","孔門弟子言行與《論語》名篇淬鍊出的千古成語。"
"051","語文學習集","七上","詞語運用","然字詞語","yuwen-word-ran.html","yuwen-practice/yuwen-word-ran.html","https://oaoadna-1313.github.io/2026_practicetools/yuwen-practice/yuwen-word-ran.html","「然」字在古代漢語中作為形容詞後綴與副詞的用法。"
"052","語文學習集","七上","詞語運用","映襯法","yuwen-rhetoric-contrast.html","yuwen-practice/yuwen-rhetoric-contrast.html","https://oaoadna-1313.github.io/2026_practicetools/yuwen-practice/yuwen-rhetoric-contrast.html","反襯、對襯、雙襯等對比鮮明的映襯修辭練習。"
"053","語文學習集","七上","詞語運用","年齡代稱","yuwen-culture-age.html","yuwen-practice/yuwen-culture-age.html","https://oaoadna-1313.github.io/2026_practicetools/yuwen-practice/yuwen-culture-age.html","垂髫、總角、及笄、弱冠、而立、知命、花甲等年歲借代。"
"054","語文學習集","七上","詞語運用","死亡代稱","yuwen-culture-death.html","yuwen-practice/yuwen-culture-death.html","https://oaoadna-1313.github.io/2026_practicetools/yuwen-practice/yuwen-culture-death.html","崩、薨、卒、不祿、歿、羽化、圓寂等身分死亡用語。"
"055","語文學習集","七上","詞語運用","諧義歇後語","yuwen-allegory-meaning.html","yuwen-practice/yuwen-allegory-meaning.html","https://oaoadna-1313.github.io/2026_practicetools/yuwen-practice/yuwen-allegory-meaning.html","前後意義關聯引申的民間智慧歇後語大考驗。"
"056","語文學習集","七上","詞語運用","諧音歇後語","yuwen-allegory-homophone.html","yuwen-practice/yuwen-allegory-homophone.html","https://oaoadna-1313.github.io/2026_practicetools/yuwen-practice/yuwen-allegory-homophone.html","巧妙運用同音、近音雙關的幽默歇後語配對。"
"057","語文學習集","七上","文化常識","動物猜謎","yuwen-riddle-animals.html","yuwen-practice/yuwen-riddle-animals.html","https://oaoadna-1313.github.io/2026_practicetools/yuwen-practice/yuwen-riddle-animals.html","趣味燈謎與特徵描述猜測動物的益智文學題。"
"058","語文學習集","七上","文化常識","詠物詩(動物植物)","yuwen-poetry-flora-fauna.html","yuwen-practice/yuwen-poetry-flora-fauna.html","https://oaoadna-1313.github.io/2026_practicetools/yuwen-practice/yuwen-poetry-flora-fauna.html","蟬、螢、松、竹、梅、菊等動植物托物言志詩判斷。"
"059","語文學習集","七上","文化常識","詠物詩(物品及其他)","yuwen-poetry-objects.html","yuwen-practice/yuwen-poetry-objects.html","https://oaoadna-1313.github.io/2026_practicetools/yuwen-practice/yuwen-poetry-objects.html","風箏、蠟燭、鏡子、傘等生活器物詠物名詩解讀。"
"060","語文學習集","七上","文化常識","季節(相關詞句)","yuwen-season-verses.html","yuwen-practice/yuwen-season-verses.html","https://oaoadna-1313.github.io/2026_practicetools/yuwen-practice/yuwen-season-verses.html","從古典詩詞描寫的景物氣候準確判定春夏秋冬四季。"
"061","語文學習集","七上","文化常識","季節(關鍵字詞)","yuwen-season-keywords.html","yuwen-practice/yuwen-season-keywords.html","https://oaoadna-1313.github.io/2026_practicetools/yuwen-practice/yuwen-season-keywords.html","東風、荷花、金風、朔風等季節密碼快速捕捉。"
"062","語文學習集","七上","文化常識","文意大補帖-中式","yuwen-comprehension-chinese.html","yuwen-practice/yuwen-comprehension-chinese.html","https://oaoadna-1313.github.io/2026_practicetools/yuwen-practice/yuwen-comprehension-chinese.html","傳統中華文人思維與經典篇章文意強化訓練。"
